you are lying,[trump]
this is the real joe biden . he insults people who don ’ t agree with him . he doesn ’ t wear a mask unless he is posing for the msm cameras . he is just a despicable person .,[biden]
"cruella mcdaniel lies 2 4 x7 , just like her boss , donald trump . your time will be over soon , toots .",[trump]
biden committed treason against the united states .,[biden]
"i am speechless ! not because he is doing it to our president , let us face it people do not like people that go against the grain , we all see that as clear as day with , he pissed off a lot of elites but if the platform that is meant for the public is compromised . . .",[trump]
y ’ all just think no white people support biden or something,[biden]
trump is killing the residents of wisconsin !,[trump]
but not really .,[trump]
omg trump is the poster boy for two face liars who only push their own agendas . it makes perfect sense he would surround himself with the same . look in the mirror kayleigh you hypocrite 🖕,[trump]
"biden is losing , losing his mind . hopefully his son will keep supporting him",[biden]
it ’ s like a flippin ’ petri dish .,[trump]
joe biden : black people are super predators joe biden : black lack diversity joe biden : i do not want my kids to grow up into a racial jungle joe biden : attended the funeral of robert byrd ( member of the kkk ) joe biden : co - signed legislation with a segregationist ( strom thurmond ),[biden]
"has the chinese bank account ! in case you didn ’ t watch the debates , and every press conference joe biden has done ! he has stated clearly that he has no intention of defunding the police ! take your lying , propaganda spreading , alternate reality , ass home !",[biden]
uuugghh they got you too smh,[trump]
are we rounding that corner yet president trump ? i think not ! ! ! !,[trump]
"trump and the gop lied to americans wayyyy back in january ! and now , millions sick and thousands dead , your party has created the ultimate horror story ! nurder ! death ! an invisible virus floating around ! the gop is evil ! !",[trump]
trump spins er statistic to claim u.s. is in ' great shape ' on covid - via,[trump]
"i spoke @ the capital on behalf of people w / cfthe cf foundation & other legitimate chronic , progressive illnesses are aware there ’ s no plan . nothing to do w / what joe says . facts they ’ re huge advocacy groups that are in constant communication & if there was a plan it would be shown",[trump]
covid is killing us . . stfu . . . . will try to save people .,[trump]
"once again , supports domestic terrorism . vote him out",[trump]
"trumps response , he loves texas . texas , vote against this man . vote blue to end the nightmare",[trump]
that was my plan for tomorrow . i went in person to cast my vote and although i identify as a libertarian i honestly feel a trump presidency would be far better than a biden / harris presidency .,"[biden, trump]"
"but , but , but . . . the email lady ! but , but , but . . . rudy ! mommy , why do you hate me so much ? ! and anyway , where ' s my fucking pony ? ? ? ! ! !",[trump]
shame on you donald trump for encouragement of this kind of intimidation and violence . shame on you !,[trump]
biden power 💙 🇺 🇸 💙,[biden]
is a turd . asked why said it ’ ll b “ dangerous ” governors . dewine said . this isn ’ t a trumpian phenomenon . gop is innately evil from turn of the 2 0 th century . trump says what they feel inside but won ’ t say aloud .,[trump]
can anyone see this post ? please reply ! i ’ m apparently shadow banned because i make fun of biden .,[biden]
important thread : this is the cowardly and feckless leadership we would get with a joe biden presidency .,[biden]
my year old daughter said this morning on way to school . who do u think most ppl voted for . i said ugh hopefully trump . say a prayer . i turn around and my year old is praying and then said ok i did it . i said what . she said i said a prayer for trump . 🙏 🏻 🙏 🏻 🇺 🇸 4 x,[trump]
oh lord — - ♥️ 🇺 🇸 trump 🇺 🇸 ♥️,[trump]
"you guys truly think that trump supporters are stupid . i am well aware bernie is not as radical as a lot of the labor movements in europe , and south america some of whom are far more radical than the europeans . however we live in a capitalist society . continued :",[trump]
created an immature egomaniac . trump has deplorable & disgusting character ! not a leader vote trump out pennsylvania for biden florida for biden texas for biden arizonafor biden ohio for biden racial equality climate change healthcare pre existing conditions,[trump]
biden supporters gotta make those late votes ! ! ! runnn forest,[biden]
"trump has proven , time and again . . he hates blacks . . only ones at his rallies , are well paid actors . listen to yesterday . .",[trump]
florida . . . trump has rejected your ballot . . call your city hall . . . find out if your ballot counted . my god . . . was an as*hole trump is . .,[trump]
so biden is just gonna win texas ?,[biden]
"prepaid taxes , that ' s a good one .",[trump]
"\ \ "" \ "" important to trump \ "" \ "" the rest of us could give a sh ! t .",[trump]
"it ' s the russians , rooty .",[trump]
that ' s great putin loves his country,[trump]
jared kushner bragged in april that trump was taking the country ' back from the doctors ',[trump]
i ’ m endorsed by baseball legend johnny damon ; my opponent is endorsed by hunter biden ( probably ) .,[biden]
"very disappointing ! ! like all the “ endorsements ” trump gets , it goes : i know he says and acts batshit crazy , but . . . . . . . etc , etc ” but what ? ? ? aren ’ t we able to expect more from the potus ? ? ? ?",[trump]
or just imagine a red florida sorry,[trump]
what a pic ! god bless our president trump & god bless america vote ! trump pence 2020 & all republicans we need to keep the senate & take back the house & maga again ~ again ! yay ! xoxo poof ! 🪄 💫 ❤️ 🤍 💙 💫 🎶 ymca 🎶 🕺 💃 🎃 🍁 🇺 🇸,[trump]
i am and live in florida . my year old mom lives miles away . i have had sunday dinner with her my whole life . . . except now . trump has no plan . he had a playbook for handling the weeks he will have a healthcare plan . nothing but lies . biden harris 2020,[trump]
"lying , setting up his owns ( again and again where is { hiding } hunter biden ? ) over time catches up with the brain 🧠 , , , mind gets confused 🤷 ‍ ♂️ 😐 . . . - > low energy low frequency . . . light gets dimmed progressively and “ undeniably ” as truth always prevails . don ’ t they know that ?",[biden]
says he wants pristine clean air and water . trump could literally tell maga he is serving fried butter sticks and they would eat shit on a stick .,[trump]
the trump administration is the “ deep state ” . how a c.i.a. coverup targeted a whistle - blower via,[trump]
are you on your period again ?,[trump]
we and biden - harris are in a battle for the soul of our nation . i believe it is important to keep the spiritual love of god burning brightly in our homes . share this love with each other on - going and work to mend differences and set aside anger . we are a good people .,[biden]
exactly . . on orders . .,[trump]
"hey , what constitutes a perfect call as opposed to just a regular call ? i never understood that .",[trump]
lies . . . all has left . . . and his coke head son junior . . . junior needs rehab . . . quick .,[trump]
